round,average_reward,std_reward,min_reward,max_reward,episode_rewards
257,99.5,1.5,95.0,100.0,100 100 100 100 100 100 100 100 95 100
258,98.4,2.6153393661244038,92.0,100.0,98 100 100 100 100 92 99 100 95 100
259,99.3,2.0999999999999996,93.0,100.0,100 100 100 100 93 100 100 100 100 100
260,97.8,5.4,82.0,100.0,100 82 100 100 100 100 100 100 96 100
261,97.4,3.5552777669262356,90.0,100.0,93 100 100 100 90 97 100 100 100 94
262,97.6,3.8000000000000003,87.0,100.0,87 100 96 98 100 100 98 100 100 97
263,99.0,1.61245154965971,96.0,100.0,100 96 100 100 98 100 100 96 100 100
264,98.7,2.0024984394500787,95.0,100.0,100 100 100 100 100 100 100 96 95 96
265,97.1,5.906775770248943,83.0,100.0,100 100 83 100 88 100 100 100 100 100
266,98.2,3.919183588453085,87.0,100.0,100 100 100 100 99 100 87 96 100 100
267,99.1,1.5779733838059498,95.0,100.0,100 100 100 100 98 95 98 100 100 100
268,99.6,1.2,96.0,100.0,100 100 100 100 100 100 96 100 100 100
269,99.6,0.9165151389911679,97.0,100.0,100 100 100 100 97 100 99 100 100 100
270,97.4,3.2619012860600183,91.0,100.0,100 92 98 96 91 97 100 100 100 100
271,89.5,25.326863208853954,14.0,100.0,14 100 100 98 93 98 100 92 100 100
272,97.8,3.487119154832539,88.0,100.0,97 100 100 98 97 88 100 100 100 98
273,97.2,5.878775382679627,80.0,100.0,98 100 100 100 96 80 100 98 100 100
274,75.6,33.166850920761235,11.0,100.0,30 100 100 11 94 100 37 100 92 92
275,97.9,2.808914381037628,93.0,100.0,97 100 100 100 96 93 93 100 100 100
276,96.3,5.848931526355904,82.0,100.0,97 89 100 100 100 100 100 95 100 82
277,98.8,2.4,92.0,100.0,100 100 92 98 100 100 100 100 98 100
278,95.8,6.305553108173779,82.0,100.0,100 100 98 96 82 99 100 98 85 100
279,98.4,2.2891046284519194,93.0,100.0,100 93 96 100 100 97 100 100 98 100
280,98.3,2.609597670139978,94.0,100.0,100 100 95 94 100 94 100 100 100 100
281,87.7,26.67976761517986,9.0,100.0,98 100 98 99 9 100 98 100 91 84
282,97.6,3.3226495451672298,90.0,100.0,100 94 100 96 100 100 100 100 96 90
283,98.7,2.8301943396169813,91.0,100.0,91 96 100 100 100 100 100 100 100 100
284,91.2,26.400000000000002,12.0,100.0,100 100 100 100 100 100 100 100 100 12
285,100.0,0.0,100.0,100.0,100 100 100 100 100 100 100 100 100 100
286,98.4,2.9393876913398143,90.0,100.0,100 100 100 98 98 100 98 100 90 100
287,98.2,4.770744176750625,84.0,100.0,100 100 100 84 98 100 100 100 100 100
288,89.2,24.656844891429238,16.0,100.0,100 100 93 100 96 89 16 100 98 100
289,98.9,1.9209372712298545,94.0,100.0,100 97 94 100 100 100 100 100 98 100
290,91.4,22.55304857441672,24.0,100.0,100 24 100 100 100 100 95 100 100 95
291,100.0,0.0,100.0,100.0,100 100 100 100 100 100 100 100 100 100
292,96.5,4.153311931459037,89.0,100.0,100 97 90 89 100 100 100 100 93 96
293,96.4,4.029888335921977,90.0,100.0,98 90 100 95 100 91 100 99 91 100
294,99.2,1.8330302779823362,94.0,100.0,100 100 100 100 94 98 100 100 100 100
295,95.0,6.899275324264136,78.0,100.0,100 95 100 78 100 92 100 88 100 97
296,97.4,3.6110940170535577,88.0,100.0,99 98 88 94 97 98 100 100 100 100
297,98.4,4.8,84.0,100.0,100 100 100 100 100 100 84 100 100 100
298,89.0,25.475478405713993,13.0,100.0,13 100 98 100 100 95 100 93 93 98
299,97.4,3.352610922848042,91.0,100.0,95 100 100 100 91 95 93 100 100 100
300,91.6,18.73606148580859,36.0,100.0,100 100 100 100 100 36 92 96 94 98
301,97.6,4.1521078984053394,87.0,100.0,100 94 100 100 100 100 87 100 95 100
302,100.0,0.0,100.0,100.0,100 100 100 100 100 100 100 100 100 100
303,88.9,20.235859260234047,31.0,100.0,80 99 96 100 93 100 90 31 100 100
304,94.7,6.435060217278468,82.0,100.0,100 100 96 97 98 98 83 82 100 93
305,98.3,2.758622844826744,91.0,100.0,100 100 100 96 100 98 100 98 100 91
306,93.5,10.131633629380802,67.0,100.0,100 98 100 67 86 88 100 100 96 100
307,98.2,2.993325909419153,91.0,100.0,100 100 100 100 91 95 96 100 100 100
308,97.7,3.407345007480165,89.0,100.0,100 100 100 96 96 100 100 89 96 100
309,89.1,26.64751395533925,10.0,100.0,100 96 87 10 100 100 100 98 100 100
310,89.7,25.70233452431899,13.0,100.0,98 100 91 13 100 97 98 100 100 100
311,100.0,0.0,100.0,100.0,100 100 100 100 100 100 100 100 100 100
312,99.2,1.2489995996796797,97.0,100.0,97 100 100 100 97 100 100 100 100 98
313,96.5,4.716990566028302,88.0,100.0,98 88 100 93 98 100 100 100 100 88
314,97.7,3.3181320046074116,92.0,100.0,100 93 92 100 100 100 100 100 93 99
315,87.5,24.005207768315607,17.0,100.0,90 98 100 86 100 100 94 17 90 100
316,96.0,7.307530362578044,75.0,100.0,94 75 98 95 100 100 100 100 98 100
317,98.8,2.4,94.0,100.0,100 94 100 100 100 100 100 94 100 100
318,90.3,24.645689278249044,17.0,100.0,98 100 100 17 100 100 100 100 99 89
319,99.4,1.2806248474865698,96.0,100.0,100 100 100 100 100 100 100 100 96 98
320,98.4,3.4698703145794947,89.0,100.0,95 100 100 100 100 100 100 100 100 89
321,96.1,6.992138442565336,78.0,100.0,88 100 97 100 100 100 100 100 78 98
322,98.0,4.1952353926806065,86.0,100.0,86 100 100 100 98 96 100 100 100 100
323,90.8,24.156986567036874,19.0,100.0,100 100 100 100 100 100 19 100 89 100
324,97.6,2.8354893757515653,92.0,100.0,94 92 97 100 95 100 98 100 100 100
325,98.9,1.5779733838059498,95.0,100.0,98 100 100 100 98 95 100 98 100 100
326,96.6,4.586937976471886,88.0,100.0,100 100 100 100 95 89 94 100 100 88
327,100.0,0.0,100.0,100.0,100 100 100 100 100 100 100 100 100 100
328,97.8,3.6551333764994136,88.0,100.0,100 100 97 100 98 100 88 100 100 95
329,98.4,1.9595917942265424,96.0,100.0,96 100 100 100 100 100 96 100 96 96
330,97.1,3.144837038703278,91.0,100.0,100 99 96 100 91 98 92 100 99 96
331,99.7,0.9,97.0,100.0,100 100 100 100 100 100 100 100 100 97
332,99.0,2.4083189157584592,92.0,100.0,100 100 100 98 100 100 100 100 92 100
333,97.8,4.044749683231337,88.0,100.0,100 100 98 92 100 100 100 88 100 100
334,90.9,22.137976420621644,25.0,100.0,100 100 25 100 94 98 100 100 92 100
335,97.9,4.2059481689626175,89.0,100.0,90 100 100 100 100 89 100 100 100 100
336,99.1,1.3,96.0,100.0,98 100 96 100 100 99 100 100 100 98
337,91.7,22.636474990598693,24.0,100.0,100 99 100 94 100 100 100 24 100 100
